name,code,Schedule Type,Instruction Method,Credit,Course Description,Section Details,Registration Restrictions,Section Attributes,Schedule and Location,Instructors,Course Quality,Instructor Quality,Work Required,Difficulty,Also_offered_as,Mutually_exclusive,Prerequisites,numeric_credit
Archaeological Field Methods,AAMW 5231,Seminar,In Class,1,"This seminar will prepare students for participation in the excavations at the site of ancient Lagash, modern Tell al-Hiba, in southern Iraq that are scheduled to take place in the fall semester. The topics to be considered are introduction to the recording methods, use of equipment, review of the ceramic sequence, methods of recording, drawing, photography. Permission of the instructor required for participation in the class.",Not available,Not available,"ARTH Ancient (AHAA)
ARTH Elective Major/Minor (AHAE)
ARTH PHD 500-Level Seminar (HMS5)",F 8:30am-11:29am (8/27 to 12/9),Holly Pittman,4.0,4.0,3.0,3.0,ARTH 5231,,,[1.0]
Material & Methods in Mediterranean Archaeology,AAMW 5260,Seminar,In Class,1,"This course is intended to provide an introduction to archaeological methods and theory in a Mediterranean context, focusing on the contemporary landscape. The class will cover work with museum collections (focusing on the holdings of the Penn Museum), field work and laboratory analysis in order to give students a diverse toolkit that they can later employ in their own original research. Each week, invited lecturers will address the class on different aspects of archaeological methodology in their own research, emphasizing specific themes that will be highlighted in readings and subsequent discussion. The course is divided into three sections: Method and Theory in Mediterranean Archaeology; Museum collections; and Decolonizing Mediterranean Archaeology. The course is designed for new AAMW graduate students, though other graduate students or advanced undergraduate students may participate with the permission of the instructor.",Not available,Undergraduate level students may not enroll.,"ANTH Archaeology (AAAR)
SEAS Humanities (EUHS)",R 12pm-2:59pm (8/27 to 12/9),Ann Kuttner,3.4,3.6,2.9,2.5,"ANTH 5026,CLST 6300",,,[1.0]
Intro to Digital Archaeology,AAMW 5620,Lecture,In Class,1,"Students in this course will be exposed to the broad spectrum of digital approaches in archaeology with an emphasis on fieldwork, through a survey of current literature and applied learning opportunities that focus on African American mortuary landscapes of greater Philadelphia. As an Academically Based Community Service (ABCS) course, we will work with stakeholders from cemetery companies, historic preservation advocacy groups, and members of the African Methodist Episcopal Church to collect data from three field sites. We will then use these data to reconstruct the original plans, untangle site taphonomy, and assess our results for each site. Our results will be examined within the broader constellation of threatened and lost African American burial grounds and our interpretations will be shared with community stakeholders using digital storytelling techniques. This course can count toward the minor in Digital Humanities, minor in Archaeological Science and the Graduate Certificate in Archaeological Science.",Prior archaeology course recommended.,Undergraduate level students may not enroll.,"ANTH Archaeology (AAAR)
SEAS Humanities (EUHS)",MW 3:30pm-4:59pm (8/27 to 12/9),Jason Herrmann,2.9,3.3,3.2,2.6,"ANTH 5220,CLST 5620",CLST 3307,,[1.0]
Hellenistic and Roman Art and Artifact,AAMW 6260,Lecture,In Class,1,"This lecture course surveys the political, religious and domestic arts, patronage and display in Rome's Mediterranean, from the 2nd c. BCE to Constantine's 4th-c. Christianized empire. Our subjects are images and decorated objects in their cultural, political and socio-economic contexts (painting, mosaic, sculpture, luxury and mass-produced arts in many media). We start with the Hellenistic cosmopolitan culture of the Greek kingdoms and their neighbors, and late Etruscan and Republican Italy; next we map Imperial Roman art as developed around the capital city Rome, as well as in the provinces of the vast empire.",Not available,Not available,SEAS Humanities (EUHS),Not available,Ann Kuttner,2.9,3.5,2.6,2.5,"ARTH 6260,CLST 5402",,,[1.0]
Medieval Art Seminar: Metal Work: Dialectics of Matter and Form,AAMW 7400,Seminar,In Class,1,"Alternating specific topic from year to year, this advanced graduate seminar surveys methodological issues concerning the art of the European Middle Ages, broadly conceived. Seminars take advantage of the rich resources of the Philadelphia area. This course is open to graduate students only.",Not available,Undergraduate level students may not enroll.,"ARTH PHD 700-Level Seminar (HMS7)
ARTH PHD Pre- Seminar (HPA7)
SEAS Humanities (EUHS)",M 3:30pm-6:29pm (8/27 to 12/9),"Shira Brisman
Sarah Guerin",,,,,ARTH 7400,,,[1.0]
Accounting and Financial Reporting,ACCT 1010,Lecture,In Class,1,"This course is an introduction to the basic concepts and standards underlying financial accounting systems. Several important concepts will be studied in detail, including: revenue recognition, inventory, long-lived assets, present value, and long term liabilities. The course emphasizes the construction of the basic financial accounting statements - the income statement, balance sheet, and cash flow statement - as well as their interpretation.",Varies by section,"Students with a semester level of Freshman may not enroll.
Students in the LPS BAAS and Online Certs, LPS Prof Masters or LPS UG Programs divisions may not enroll.",NU Sector ReaSys&Relationship (NURS),Varies by section,Varies by section,2.4,2.6,2.3,3.0,,,,[1.0]
Strategic Cost Analysis,ACCT 1020,Lecture,In Class,1,"Strategic Cost Analysis is the process of analyzing and managing costs in order to improve the strategic position of the business. This goal can be accomplished by having a thorough understanding of which activities and costs support an organization's strategic position and which activities and costs either weaken it or have no impact. Subsequent cost management efforts can then focus on reducing or limiting expenditures on activities that add little or no strategic value, while increasing expenditures on activities that support the strategic position of the organization. Performance can then be evaluated to ensure that the chosen actions are taken, and that these actions are yielding improved strategic performance. Throughout the course, a strategic cost analysis and management framework will be applied across functions and organizations to highlight the cost analysis and performance evaluation methods available to forecast financial performance and improve strategic position.",Varies by section,"Students with a semester level of Freshman may not enroll.
Students in the LPS BAAS and Online Certs, LPS Prof Masters or LPS UG Programs divisions may not enroll.",NU Sector ReaSys&Relationship (NURS),Varies by section,Varies by section,2.2,2.6,2.1,2.6,,,,[1.0]
Financial Measurement and Disclosure,ACCT 2120,Lecture,In Class,1,"This course builds on the knowledge you obtained in your introductory financial accounting course. This is an intermediate level course on financial reporting which covers more complicated transactions than those found in ACCT 1010. We will cover major valuation and financial reporting topics on all three major sections of the balance sheet-assets, liabilities, and equity-along with their consequences for net income and cash flows. Case studies and illustrative examples from the financial press will be used to increase your familiarity with actual firms' financial statements and to emphasize the effect of financial accounting rules on the information presented in financial statements. After completing this course, you will have obtained many of the tools necessary to both prepare and analyze financial statements and accounting information provided by firms. You will acquire an understanding of both the ""how"" of accounting procedures and the underlying reasons ""why"" these practices are adopted. These skills are essential for pursuing a broad range of professions in accounting and finance.",Auditors need permission. Concentration courses must be taken for a grade and not pass/fail. Prerequisite: ACCT 1010,"Students with a semester level of Freshman may not enroll.
Students in the LPS BAAS and Online Certs, LPS Prof Masters or LPS UG Programs divisions may not enroll.","NU Sector ReaSys&Relationship (NURS)
WH UG ACCT Concentration (WUAC)",MW 10:15am-11:44am (8/27 to 12/9),Catherine Schrand,2.6,2.8,2.5,3.0,,,ACCT 1010,[1.0]
Accounting and Business Analysis,ACCT 2420,Lecture,In Class,1,"In the course, students learn how to analyze firms' financial statements and disclosures to determine how a firm's particular accounting choices reflect the underlying economics of the firm. As a result, the course strengthens students' ability to use financial statements as part of an overall assessment of the firm's strategy and valuation. The course is especially useful for anyone interested in working on the buy or sell side. The course provides both a framework for and the tools necessary to analyze financial statements. At the conceptual level, it emphasizes that preparers and users of financial statements have different objectives and incentives. At the same time, the course is applied and stresses the use of actual financial statements. For example, students learn how to detect when firms are managing earnings and/or balance sheets. It draws heavily on real business problems and uses cases to illustrate the application of the techniques and tools. If ACCT 2420 is not offered in a given year, Undergraduate students can take ACCT 7420. Please submit a permission request through Path@Penn.edu.",Varies by section,"Students with a semester level of Freshman may not enroll.
Enrollment limited to students in the Wharton Undergraduate division.","NU Sector ReaSys&Relationship (NURS)
WH UG ACCT Concentration (WUAC)
WH UG TIA: Technology, Innovations, Analytics (WUTI)",Varies by section,Richard Lambert,2.9,2.9,2.7,3.0,,ACCT 7420,ACCT 1010,[1.0]
Fundamentals of Financial Accounting,ACCT 6110,Lecture,In Class,1,"The objective of this course is to provide an understanding of financial accounting fundamentals for prospective consumers of corporate financial information, such as managers, stockholders, financial analysts, and creditors. The course focuses on understanding how economic events like corporate investments, financing transactions and operating activities are recorded in the three main financial statements (i.e., the income statement, balance sheet, and statement of cash flows). Along the way, students will develop the technical skills needed to analyze corporate financial statements and disclosures for use in financial analysis, and to interpret how accounting standards and managerial incentives affect the financial reporting process. This course is recommended for students who want a more in-depth overview of the financial accounting required for understanding firm performance and potential future risks through analysis of reported financial information, such as students intending to go into security analysis and investment banking.",MBA students must request enrollment for this class through Course Match and should not use the “Add to Cart” or “Request Permission” functions. Auditors need permission. MBA students need to take as grade.,"Enrollment limited to students in the Wharton Graduate division.
Enrollment in this course is restricted. Request Permission to register.",MSSE Elective (EMME),Varies by section,Shuang Zhou,2.9,3.1,2.5,2.8,,,,[1.0]
Fundamentals of Financial and Managerial Accounting,ACCT 6130,Lecture,In Class,1,"This course provides an introduction to both financial and managerial accounting, and emphasizes the analysis and evaluation of accounting information as part of the managerial processes of planning, decision-making, and control. A large aspect of the course covers the fundamentals of financial accounting. The objective is to provide a basic overview of financial accounting, including basic accounting concepts and principles, as well as the structure of the income statement, balance sheet, and statement of cash flows. The course also introduces elements of managerial accounting and emphasizes the development and use of accounting information for internal decisions. Topics include cost behavior and analysis, product and service costing, and relevant costs for internal decision-making. This course is recommended for students who will be using accounting information for managing manufacturing and service operations, controlling costs, and making strategic decisions, as well as those going into general consulting or thinking of starting their own businesses.",Varies by section,"Enrollment limited to students in the Wharton Graduate division.
Enrollment in this course is restricted. Request Permission to register.",MSSE Elective (EMME),Varies by section,Varies by section,2.8,3.1,2.6,3.1,,,,[1.0]
Financial Reporting and Business Analysis,ACCT 7420,Lecture,In Class,1,This intensive one-semester course focuses on how to extract and interpret information in financial statements. The course adopts a user perspective of accounting by illustrating several specific accounting issues in a decision context.,Varies by section,"Enrollment limited to students in the Wharton Graduate division.
Enrollment in this course is restricted. Request Permission to register.",Wharton MBA Business Analytics Major Elec Non-WH (WMBU),Varies by section,Richard Lambert,2.8,2.4,2.7,2.9,,ACCT 2420,ACCT 6110 OR ACCT 6130,[1.0]
Research in Accounting III,ACCT 9420,Seminar,In Class,1,"This is Part III of a theoretical and empirical literature survey sequence covering topics that include corporate disclosure, cost of capital, incentives, compensation, governance, financial intermediation, financial reporting, tax, agency theory, cost accounting, capital structure, international financial reporting, analysts, and market efficiency. Please contact the accounting doctoral coordinator for information on the specific upcoming modules/topics that will be taught.",Not available,"Enrollment limited to students in a Doctor of Philosophy degree.
Enrollment limited to students in the Wharton PhD division.",Not available,Not available,Not available,,,,,,,,[1.0]
Workshop Colloquium I,ACCT 9810,Seminar,In Class,1,"Students attend workshops in departments outside of accounting to provide student exposure to theory, research designs and methods that are being explored outside of accounting to provide breadth of exposure to foster innovative research ideas. Students are required to attend 15 non-accounting workshops over one academic year and write up a referee report for 8 of those workshop papers. They are also required to write up at least one research proposal that stems from theories or research methods gleaned from one or more of the workshops attended.",Not available,"Enrollment limited to students in a Doctor of Philosophy degree.
Enrollment limited to students in the Wharton PhD division.",Not available,Not available,Luzi Hail,,,,,,,,[1.0]
Scholarship and Personal Development I,ACFD 6000,Lecture,In Class,0.5,"In this course, faculty participants will develop and expand upon high-level personal competencies foundational to success in faculty appointments. Focus will be on self-assessments, strategic career planning, fostering personal and professional relationships, and scholarly productivity. Prerequisite: Faculty interested in enrolling in ACFD 6000, Scholarship and Personal Development I, will first need to be admitted to the Academic Foundations Certificate program. Program prerequisites include (but are not limited to) a current, full time faculty appointment at an accredited university. Participation in this program requires prior approval from faculty chair/chief as appropriate.","Class meets four times during the Fall semester: Friday, September 29 (in person, location TBD) from 12:30 - 3:00pm Friday, October 27 (in person, location TBD) from 12:30 - 3:00pm Friday, November 17 (in person, location TBD) from 12:30 - 3:00pm Friday, December 15 (in person, location TBD) from 12:30 - 3:00pm",Enrollment is limited to students with a major in Academic Foundations.,Not available,Not available,Michael Rickels,,,,,,,"In this course, faculty participants will develop and expand upon high-level personal competencies foundational to success in faculty appointments. Focus will be on self-assessments, strategic career planning, fostering personal and professional relationships, and scholarly productivity.  Faculty interested in enrolling inACFD 6000, Scholarship and Personal Development I, will first need to be admitted to the Academic Foundations Certificate program. Program prerequisites include (but are not limited to) a current, full time faculty appointment at an accredited university. Participation in this program requires prior approval from faculty chair/chief as appropriate.",[0.5]
Africa Before 1800,AFRC 0300,Varies by section,In Class,Varies by section,"Survey of major themes and issues in African history before 1800. Topics include: early civilizations, African kingdoms and empires, population movements, the spread of Islam, and the slave trade. Also, emphasis on how historians use archaeology, linguistics, and oral traditions to reconstruct Africa's early history.",Not available,Not available,"AFRC African Diaspora Studies (AAFD)
AFRC African Studies (AAFS)
AFRC History Course (AAFO)
AFRC Minor African American (AAFN)
College FND Cross Cultural Analysis (AUCC)
College-Sector - History & Tradition (AUHT)
GMST Minor- Medieval Studies History (AGMH)
GMST Outside of Europe (AGMO)
HIST Africa and the Middle East (AHAF)
HIST Concentration in World History (AHCW)
HIST Pre- (AH18)
NU Sector History&Traditions (NUHT)
PSCI Comparative Politics (APSC)
PSCI International Relations (APSI)
SEAS Humanities (EUHS)
WH UG CCP Non-US (WUCN)
Wharton UG Core Flex GenEd (WUFG)",Varies by section,Varies by section,3.0,3.2,2.3,2.1,HIST 0300,,,
Colonial Latin America,AFRC 0400,Varies by section,In Class,Varies by section,"The colonial period (1492- 1800) saw huge population movements (many of them involuntary) within the Americas and across the Atlantic. As a result, Latin America was created from the entanglement of technologies, institutions, knowledge systems, and cosmologies from Indigenous, European, and African cultures. We will learn about colonial institutions such as slavery and encomienda. We will also explore the different strategies pursued by individuals and communities to build meaningful lives in the face of often dire social and environmental circumstances. Class readings are primary sources and the focus of discussions, papers, and exams will be their interpretation.",Not available,Not available,"AFRC History Course (AAFO)
AFRC Minor African American (AAFN)
AFRC Minor Caribbean or Latin American (AAFC)
College FND Cross Cultural Analysis (AUCC)
College-Sector - History & Tradition (AUHT)
GMST Minor- Medieval Studies History (AGMH)
GMST Outside of Europe (AGMO)
HIST Concentration in World History (AHCW)
HIST Latin America and the Caribbean (AHLA)
HIST Pre- (AH18)
Hunstman International Studies (UNIS)
INTR International Relations Elective (AIRE)
INTR Non-Western Elective (AIRN)
LALX History (ALHI)
LALX Regional Experience Prior to (ALRP)
NU Sector Global&Cultural Studies (NUGC)
NU Sector History&Traditions (NUHT)
PSCI Comparative Politics (APSC)
PSCI International Relations (APSI)
SEAS Humanities (EUHS)
WH UG CCP Non-US (WUCN)
Wharton UG Core Flex GenEd (WUFG)",Varies by section,Varies by section,2.4,2.4,2.3,2.2,"HIST 0400,LALS 0400",,,
